EPOCH,Time Consumed,Total Frames,Running_Average_Rewards,Train_Epoch_Reward,Running_Training_Average_Rewards,Explore_Time,Train___Time,Eval____Time,reach-v1_success_rate,reach-v1_eval_rewards,mean_success_rate,Reward_Mean_Mean,Reward_Mean_Std,Reward_Mean_Max,Reward_Mean_Min,alpha_0_Mean,alpha_0_Std,alpha_0_Max,alpha_0_Min,Alpha_loss_Mean,Alpha_loss_Std,Alpha_loss_Max,Alpha_loss_Min,Training/policy_loss_Mean,Training/policy_loss_Std,Training/policy_loss_Max,Training/policy_loss_Min,Training/qf1_loss_Mean,Training/qf1_loss_Std,Training/qf1_loss_Max,Training/qf1_loss_Min,Training/qf2_loss_Mean,Training/qf2_loss_Std,Training/qf2_loss_Max,Training/qf2_loss_Min,Training/pf_norm_Mean,Training/pf_norm_Std,Training/pf_norm_Max,Training/pf_norm_Min,Training/qf1_norm_Mean,Training/qf1_norm_Std,Training/qf1_norm_Max,Training/qf1_norm_Min,Training/qf2_norm_Mean,Training/qf2_norm_Std,Training/qf2_norm_Max,Training/qf2_norm_Min,log_std/mean_Mean,log_std/mean_Std,log_std/mean_Max,log_std/mean_Min,log_std/std_Mean,log_std/std_Std,log_std/std_Max,log_std/std_Min,log_std/max_Mean,log_std/max_Std,log_std/max_Max,log_std/max_Min,log_std/min_Mean,log_std/min_Std,log_std/min_Max,log_std/min_Min,log_prob_0_Mean,log_prob_0_Std,log_prob_0_Max,log_prob_0_Min,log_probs/mean_Mean,log_probs/mean_Std,log_probs/mean_Max,log_probs/mean_Min,log_probs/std_Mean,log_probs/std_Std,log_probs/std_Max,log_probs/std_Min,log_probs/max_Mean,log_probs/max_Std,log_probs/max_Max,log_probs/max_Min,log_probs/min_Mean,log_probs/min_Std,log_probs/min_Max,log_probs/min_Min,mean/mean_Mean,mean/mean_Std,mean/mean_Max,mean/mean_Min,mean/std_Mean,mean/std_Std,mean/std_Max,mean/std_Min,mean/max_Mean,mean/max_Std,mean/max_Max,mean/max_Min,mean/min_Mean,mean/min_Std,mean/min_Max,mean/min_Min
0,14.579246759414673,4200,11516.57572,18934.50525,12227.66170,0.17568,14.37011,0.00168,0.00000,11516.57572,0.00000,80.02232,1.70608,84.90575,75.21780,0.97179,0.01577,0.99970,0.94472,-0.16291,0.09145,-0.00000,-0.32136,-66.14126,36.30999,-2.67532,-102.50730,4353.82798,2696.36579,10508.99805,2174.46606,4386.42599,2724.18071,10521.41895,2191.17334,2.01541,1.36197,5.91098,0.19141,2787.83889,3125.67393,12007.94629,117.33238,2775.79843,3191.04929,11839.76074,101.19910,-0.19042,0.06045,0.00114,-0.33482,0.05696,0.04009,0.16557,0.00182,-0.12530,0.04524,0.00727,-0.27458,-0.26691,0.10018,-0.00201,-0.50240,-1.90222,0.66818,-0.03692,-2.74527,-1.90222,0.66818,-0.03692,-2.74527,1.03238,0.47668,1.94161,0.20515,0.43909,1.58397,4.01756,-2.32275,-6.38114,1.22228,-3.62731,-9.82455,-0.37253,0.24539,0.01357,-0.95843,0.25539,0.18170,0.59225,0.00237,-0.03156,0.26819,0.49603,-0.74825,-0.67144,0.38079,0.00447,-1.25931
1,15.15151572227478,4400,11516.57572,16675.30348,12265.09553,0.00504,15.14469,0.00170,0.00000,11516.57572,0.00000,76.90706,1.51581,81.18208,72.13667,0.92142,0.01280,0.94446,0.89914,-0.36880,0.08179,-0.17024,-0.59503,-123.58342,17.64107,-96.21568,-161.12827,2380.78674,391.38661,3229.71802,1402.64478,2307.32002,436.96344,3203.92017,1223.04187,6.10179,3.33211,17.29148,0.66826,1294.13969,829.88237,3805.07739,174.54410,1255.57751,735.50263,3502.28345,218.19316,-0.19311,0.09420,-0.00643,-0.40884,0.18447,0.05364,0.29625,0.07597,0.01782,0.10601,0.24555,-0.23713,-0.47044,0.13278,-0.15905,-0.80551,-0.54319,0.82283,1.56033,-2.37037,-0.54319,0.82283,1.56033,-2.37037,1.62257,0.25921,2.17230,0.87299,3.18371,1.26228,5.76566,0.08405,-7.54269,1.08446,-5.20239,-10.87199,0.58842,0.43449,1.15136,-0.61305,0.49106,0.09891,0.70956,0.26527,1.24108,0.49689,1.79402,-0.14101,-0.08173,0.45394,0.84189,-1.33833
2,15.558835744857788,4600,7941.86259,9574.75729,12013.19563,0.00287,15.55447,0.00131,0.00000,792.43632,0.00000,74.68322,1.77500,78.98229,69.39394,0.87191,0.01554,0.89889,0.84832,-0.67892,0.14472,-0.28614,-0.81659,-217.02053,38.77892,-144.70726,-287.29169,1516.68303,181.21460,2129.31250,1124.56567,1478.12985,155.04364,2030.80884,1109.02417,10.16893,6.67839,36.69346,2.13091,3136.70315,1559.87436,8849.96875,755.80096,3206.03269,1768.32363,10177.55371,884.61884,0.17524,0.14465,0.32614,-0.22958,0.15565,0.12004,0.45063,0.02260,0.37963,0.15555,0.67922,-0.00377,-0.07518,0.29841,0.27774,-0.84977,-1.04610,1.20583,2.23526,-2.65055,-1.04610,1.20583,2.23526,-2.65055,1.80473,0.45448,2.51725,0.48051,5.00003,2.28407,10.24478,-1.06963,-6.04555,1.38447,-4.03083,-11.08198,-0.15893,0.31364,0.96034,-0.52483,0.53257,0.31235,1.31636,0.09585,0.62707,0.62117,2.13524,0.03159,-0.88986,0.55789,-0.03815,-2.19472
3,14.806113004684448,4800,6311.22485,1579.70794,11281.26804,0.01697,14.78720,0.00169,0.00000,1419.31165,0.00000,72.04389,1.58802,77.22611,67.72977,0.84245,0.00283,0.84820,0.83684,-0.17386,0.10927,0.02886,-0.45887,-326.07582,28.39981,-267.77295,-377.21231,1270.94804,128.28260,1768.97852,923.30408,1213.13809,154.95831,1749.06799,815.53479,14.76503,7.17376,50.09447,2.07807,5372.21250,2976.89839,18076.15039,1241.35193,4408.93007,2231.68916,13196.41602,896.34009,-0.52982,0.13112,-0.24697,-0.73765,0.23971,0.09231,0.49775,0.05349,-0.06637,0.18015,0.43405,-0.44724,-0.93007,0.34658,-0.62735,-2.27860,2.98571,0.63539,4.16662,1.40301,2.98571,0.63539,4.16662,1.40301,2.25722,0.16005,2.93024,1.97100,8.28985,1.68302,14.18774,6.23320,-6.83551,1.36641,-4.23548,-11.28675,-0.42968,0.04848,-0.33186,-0.52804,1.37047,0.09672,1.53382,1.08733,1.82964,0.29558,2.65388,1.19973,-2.32138,0.38079,-1.77539,-3.40768
4,14.974694967269897,5000,5097.72256,3077.91287,11191.25752,0.00525,14.96729,0.00198,0.00000,243.71339,0.00000,69.21714,1.66124,73.58038,65.18844,0.83277,0.00202,0.83677,0.83038,-0.08104,0.08360,0.12162,-0.24010,-408.91118,26.23860,-361.87903,-459.97226,883.07774,108.19824,1222.96375,654.04895,756.04340,102.24646,1079.68530,552.46368,42.57821,24.72982,114.21553,4.36991,7936.65259,4404.65855,26663.92383,1248.75525,5979.62789,3276.63968,22294.60352,1347.92114,-0.75383,0.10517,-0.60521,-0.94290,0.72171,0.05529,0.79758,0.50105,0.28724,0.23424,0.71096,-0.02285,-2.49458,0.10890,-2.27393,-2.68123,3.55371,0.45824,4.65440,2.68714,3.55371,0.45824,4.65440,2.68714,2.45928,0.15555,2.95785,2.14040,12.68994,1.18427,15.94057,9.95043,-6.57516,1.48340,-4.05625,-12.35252,0.06998,0.27569,0.38361,-0.53327,1.33978,0.04346,1.46179,1.26035,2.15906,0.12524,2.47221,1.87817,-2.46705,0.34372,-2.07872,-3.41783
5,16.557005643844604,5200,4308.56217,249.42008,10451.58337,0.00608,16.54951,0.00136,0.00000,362.76024,0.00000,66.82307,1.64495,71.75956,63.48561,0.81422,0.01265,0.83071,0.79249,-0.60633,0.22419,0.05419,-0.87783,-482.10822,25.46891,-434.05069,-533.65710,717.10662,79.60231,1002.74689,546.71350,654.74404,67.49181,831.04968,510.88287,24.45781,13.18504,78.69321,5.51779,10192.63612,6597.50190,38651.12891,1838.21436,11652.19872,6656.14308,28717.08984,1805.70276,-0.25636,0.28557,0.10967,-0.94201,0.51002,0.12684,0.74722,0.32467,0.80973,0.38587,1.52721,-0.00571,-2.16866,0.28528,-1.54010,-2.64867,1.07836,1.06176,4.29209,-0.22247,1.07836,1.06176,4.29209,-0.22247,2.87318,0.36878,3.54478,2.16685,14.41756,2.23424,20.98123,9.46168,-7.37963,1.28898,-4.01806,-13.47012,0.07425,0.13139,0.36744,-0.25113,1.10620,0.12899,1.37543,0.90296,2.82697,0.57770,4.03987,2.08019,-3.17696,0.57054,-2.19266,-3.95552
6,17.834383010864258,5400,3745.42815,364.40609,9410.81374,0.00588,17.82671,0.00163,0.00000,366.62404,0.00000,70.42452,2.01495,76.63078,63.15778,0.77172,0.01336,0.79230,0.74813,-0.88340,0.25451,0.08469,-1.23156,-582.41613,23.43224,-526.80750,-630.76654,3250.38101,882.78378,6586.17334,745.75769,3015.02606,851.93527,6242.00732,619.70294,33.48503,16.82138,72.06289,5.71886,15523.73951,9696.55417,58244.77734,3141.26318,14832.53732,8947.64761,52831.80469,1325.90662,-0.24826,0.11352,0.16647,-0.37625,0.34020,0.05907,0.58401,0.27181,0.54894,0.21379,1.34041,0.25016,-2.02569,0.13665,-1.81845,-2.38205,0.61407,0.91463,4.35730,-0.46431,0.61407,0.91463,4.35730,-0.46431,3.15934,0.32755,4.60044,2.49527,13.43537,2.01132,24.62243,9.91774,-7.51363,1.17342,-5.16810,-12.00372,-0.29638,0.27192,0.36914,-0.97399,1.02939,0.10953,1.40041,0.81590,3.14496,0.15564,3.54967,2.76975,-2.76103,0.27246,-2.22523,-3.53862
7,20.878546953201294,5600,6859.99193,778.33897,8747.19449,0.00748,20.86151,0.00170,0.00000,28661.93834,0.00000,71.46598,2.03334,77.51089,65.25020,0.72711,0.01128,0.74793,0.71015,-0.94674,0.21554,-0.32108,-1.34155,-690.50587,27.17475,-612.37262,-755.56439,3595.34910,828.77634,6639.86328,1868.70386,3163.89591,795.26664,5940.01514,1420.47546,36.07688,23.40125,124.16318,7.86037,18130.31780,10210.11041,56716.78906,2427.83765,20140.01656,14634.95994,88362.32031,2787.74634,-0.38273,0.07062,-0.29319,-0.56098,0.32557,0.03946,0.41019,0.23988,0.64173,0.12473,0.89877,0.36556,-1.65057,0.13976,-1.43234,-1.98529,0.99960,0.76959,3.04227,-0.57708,0.99960,0.76959,3.04227,-0.57708,2.56734,0.20959,3.35197,2.13110,12.07779,1.01407,15.52213,10.40106,-7.54290,1.29865,-4.51349,-13.36805,0.05806,0.28508,0.70051,-0.50809,1.10326,0.10359,1.39349,0.84934,2.65791,0.16347,3.15731,2.29841,-2.71976,0.20510,-2.22723,-3.12759
8,18.38295841217041,5800,7842.07355,34208.28813,8404.66975,0.00268,18.37852,0.00167,0.00000,15698.72650,0.00000,73.75896,2.36180,81.31001,68.17310,0.70830,0.00271,0.71503,0.70518,0.17020,0.41890,1.01393,-0.79924,-822.77689,36.93882,-727.44830,-911.91052,4689.56333,982.04675,8601.02148,2402.24878,4032.63153,884.71153,7659.12402,1946.42163,34.77630,22.20483,113.39642,4.16982,22012.25237,12243.43724,76398.96875,4604.36963,27066.82137,20463.11510,106772.65625,3404.96338,-0.64371,0.07275,-0.49734,-0.79434,0.22718,0.06020,0.38145,0.13631,0.13199,0.18168,0.59428,-0.07011,-1.51213,0.07785,-1.36933,-1.63261,4.49840,1.22090,6.97939,1.67213,4.49840,1.22090,6.97939,1.67213,2.60352,0.21322,3.22642,2.21827,12.15838,1.47633,16.73489,10.13627,-6.09403,1.57182,-3.39305,-11.64210,0.59001,0.15275,0.85024,0.17607,1.51806,0.14808,1.87437,1.14207,2.74411,0.20259,3.36774,2.38519,-3.05144,0.45748,-2.29061,-4.00470
9,18.829107999801636,6000,8399.80065,21048.86016,9889.54946,0.01502,18.81210,0.00184,0.00000,13419.34456,0.00000,73.54996,2.32487,80.20473,67.03841,0.73189,0.01029,0.75010,0.71514,0.76764,0.19410,1.26039,0.38395,-974.96953,38.09351,-888.12659,-1063.87561,4628.10346,900.82393,7499.44238,1882.95532,4173.28284,836.29270,6836.18262,1815.49963,25.25317,18.76520,118.54631,3.36366,30996.72460,22188.37681,131308.48438,5521.85400,35004.47156,25071.62866,118841.28125,4028.12695,-0.71445,0.05502,-0.60834,-0.83440,0.21320,0.04068,0.32133,0.13549,0.30293,0.18436,0.59611,-0.00864,-1.54461,0.13166,-1.29685,-1.85930,6.45952,0.61764,7.91018,5.16729,6.45952,0.61764,7.91018,5.16729,2.81653,0.10386,3.13896,2.54614,14.79408,0.97840,17.42164,11.96397,-5.02776,1.38881,-3.27223,-11.34497,0.71259,0.09573,0.93011,0.53761,1.71197,0.07117,1.87346,1.51983,3.83423,0.27102,4.44421,3.29018,-3.03868,0.25221,-2.67293,-3.68033
