EPOCH,Time Consumed,Total Frames,Running_Average_Rewards,Train_Epoch_Reward,Running_Training_Average_Rewards,Explore_Time,Train___Time,Eval____Time,push-v1_success_rate,push-v1_eval_rewards,mean_success_rate,Reward_Mean_Mean,Reward_Mean_Std,Reward_Mean_Max,Reward_Mean_Min,alpha_0_Mean,alpha_0_Std,alpha_0_Max,alpha_0_Min,Alpha_loss_Mean,Alpha_loss_Std,Alpha_loss_Max,Alpha_loss_Min,Training/policy_loss_Mean,Training/policy_loss_Std,Training/policy_loss_Max,Training/policy_loss_Min,Training/qf1_loss_Mean,Training/qf1_loss_Std,Training/qf1_loss_Max,Training/qf1_loss_Min,Training/qf2_loss_Mean,Training/qf2_loss_Std,Training/qf2_loss_Max,Training/qf2_loss_Min,Training/pf_norm_Mean,Training/pf_norm_Std,Training/pf_norm_Max,Training/pf_norm_Min,Training/qf1_norm_Mean,Training/qf1_norm_Std,Training/qf1_norm_Max,Training/qf1_norm_Min,Training/qf2_norm_Mean,Training/qf2_norm_Std,Training/qf2_norm_Max,Training/qf2_norm_Min,log_std/mean_Mean,log_std/mean_Std,log_std/mean_Max,log_std/mean_Min,log_std/std_Mean,log_std/std_Std,log_std/std_Max,log_std/std_Min,log_std/max_Mean,log_std/max_Std,log_std/max_Max,log_std/max_Min,log_std/min_Mean,log_std/min_Std,log_std/min_Max,log_std/min_Min,log_prob_0_Mean,log_prob_0_Std,log_prob_0_Max,log_prob_0_Min,log_probs/mean_Mean,log_probs/mean_Std,log_probs/mean_Max,log_probs/mean_Min,log_probs/std_Mean,log_probs/std_Std,log_probs/std_Max,log_probs/std_Min,log_probs/max_Mean,log_probs/max_Std,log_probs/max_Max,log_probs/max_Min,log_probs/min_Mean,log_probs/min_Std,log_probs/min_Max,log_probs/min_Min,mean/mean_Mean,mean/mean_Std,mean/mean_Max,mean/mean_Min,mean/std_Mean,mean/std_Std,mean/std_Max,mean/std_Min,mean/max_Mean,mean/max_Std,mean/max_Max,mean/max_Min,mean/min_Mean,mean/min_Std,mean/min_Max,mean/min_Min
0,12.028834104537964,4200,-99.44097,-31.77252,-19.89262,0.53742,10.80446,0.67848,0.00000,-99.44097,0.00000,-0.13649,0.01051,-0.09926,-0.16150,0.97043,0.01681,0.99970,0.94175,-0.20106,0.11667,-0.00000,-0.40248,-5.28991,0.77291,-2.66596,-6.06068,0.70885,1.48011,6.54434,0.04972,0.70712,1.45718,6.51143,0.05016,0.27460,0.13653,1.27654,0.11411,5.64007,8.78589,34.05819,0.03521,5.89767,9.97725,43.76550,0.02339,-0.13036,0.01810,0.00164,-0.16714,0.00635,0.00289,0.01346,0.00122,-0.12145,0.01776,0.00587,-0.14759,-0.13835,0.01922,-0.00493,-0.17585,-2.73215,0.00844,-2.66791,-2.75602,-2.73215,0.00844,-2.66791,-2.75602,0.24240,0.02745,0.43254,0.20751,-2.12455,0.11500,-1.29939,-2.26874,-4.97093,0.75672,-3.65306,-10.32087,-0.00172,0.00523,0.01147,-0.01157,0.01258,0.00523,0.03713,0.00419,0.01474,0.00916,0.04917,-0.00249,-0.01773,0.00963,0.00039,-0.04366
1,12.659061431884766,4400,-92.84795,-30.06933,-20.06924,0.53635,11.36901,0.74605,0.00000,-86.25492,0.00000,-0.13675,0.01027,-0.10312,-0.15791,0.91391,0.01583,0.94146,0.88689,-0.60529,0.11670,-0.40531,-0.80609,-6.56994,0.39531,-5.91213,-7.31083,0.18483,0.06508,0.39701,0.04748,0.18488,0.06518,0.39901,0.04361,0.17943,0.04915,0.35433,0.06421,1.36730,1.15078,5.24069,0.03004,1.53759,1.11297,5.82065,0.05644,-0.12901,0.00462,-0.11496,-0.13862,0.00577,0.00202,0.01161,0.00060,-0.12130,0.00539,-0.10911,-0.13257,-0.13636,0.00598,-0.11842,-0.15054,-2.73470,0.00707,-2.71819,-2.75682,-2.73470,0.00707,-2.71819,-2.75682,0.24148,0.01341,0.28381,0.20769,-2.12671,0.04160,-2.01515,-2.21171,-5.05694,0.67214,-3.66551,-8.29081,-0.00103,0.00559,0.01156,-0.01467,0.01116,0.00470,0.02292,0.00309,0.01428,0.01116,0.04469,-0.00868,-0.01425,0.00690,-0.00084,-0.02845
2,14.730541467666626,4600,-89.28614,-32.25816,-20.25237,0.57555,13.39028,0.75787,0.00000,-82.16253,0.00000,-0.13757,0.01130,-0.10471,-0.16028,0.86068,0.01491,0.88662,0.83524,-1.00932,0.11665,-0.80905,-1.21185,-8.01944,0.45021,-7.18046,-8.85905,0.17643,0.07364,0.39185,0.03973,0.17865,0.07306,0.41010,0.04121,0.14916,0.03647,0.25365,0.05236,2.88503,1.95424,7.63898,0.07605,3.54913,2.76761,12.36626,0.07735,-0.12673,0.00470,-0.11272,-0.13640,0.00575,0.00235,0.01115,0.00136,-0.11937,0.00585,-0.10729,-0.13353,-0.13423,0.00480,-0.12378,-0.14350,-2.73395,0.00678,-2.71514,-2.75303,-2.73395,0.00678,-2.71514,-2.75303,0.24061,0.01458,0.27871,0.19366,-2.12288,0.04170,-1.99122,-2.23137,-4.94678,0.65330,-3.85998,-7.35840,0.00019,0.00351,0.00927,-0.00517,0.01148,0.00374,0.02141,0.00424,0.01557,0.00625,0.03026,0.00205,-0.01335,0.00676,0.00554,-0.02552
3,14.495292901992798,4800,-89.99932,-42.39047,-20.87552,0.56998,13.18528,0.73289,0.00000,-92.13885,0.00000,-0.13889,0.01145,-0.10511,-0.16242,0.81055,0.01404,0.83499,0.78660,-1.41339,0.11669,-1.21027,-1.61465,-9.51871,0.43504,-8.74489,-10.33488,0.17947,0.07332,0.40388,0.03478,0.17849,0.07402,0.39107,0.03610,0.13439,0.03698,0.25349,0.04109,4.25447,3.10538,14.43148,0.09223,3.88424,2.91592,14.69759,0.07956,-0.12359,0.00594,-0.11061,-0.13904,0.00533,0.00203,0.00972,0.00140,-0.11558,0.00736,-0.09982,-0.13356,-0.12969,0.00560,-0.11623,-0.14694,-2.73405,0.00635,-2.71737,-2.75265,-2.73405,0.00635,-2.71737,-2.75265,0.24124,0.01343,0.27873,0.19963,-2.11114,0.04553,-1.97657,-2.22935,-4.86936,0.60418,-3.89815,-7.89726,-0.00064,0.00371,0.00596,-0.00820,0.00921,0.00368,0.01565,0.00128,0.01180,0.00753,0.03047,-0.00678,-0.01208,0.00471,-0.00216,-0.02165
4,14.506824493408203,5000,-88.94942,-35.16585,-21.14189,0.55940,13.20319,0.73738,0.00000,-84.74984,0.00000,-0.14143,0.01022,-0.10613,-0.16138,0.76335,0.01322,0.78636,0.74079,-1.81725,0.11680,-1.61696,-2.02337,-10.97734,0.41837,-10.16952,-11.78272,0.16751,0.06780,0.38839,0.03496,0.16660,0.06938,0.38064,0.03352,0.12224,0.03086,0.21880,0.05892,6.31926,4.76300,21.12148,0.12055,5.66593,4.90028,27.18666,0.16372,-0.12331,0.00570,-0.11483,-0.13967,0.00567,0.00195,0.01001,0.00182,-0.11584,0.00614,-0.10587,-0.13401,-0.13062,0.00649,-0.11816,-0.15041,-2.73340,0.00695,-2.71447,-2.75120,-2.73340,0.00695,-2.71447,-2.75120,0.24280,0.01560,0.31117,0.20737,-2.10341,0.04657,-1.97019,-2.22249,-4.96656,0.69195,-3.72000,-7.10891,-0.00135,0.00452,0.00561,-0.01493,0.00903,0.00427,0.01891,0.00105,0.01160,0.01064,0.03391,-0.01134,-0.01202,0.00511,-0.00184,-0.02485
5,14.448484420776367,5200,-86.43224,-30.46584,-21.22900,0.57810,13.14858,0.71529,0.00000,-73.84634,0.00000,-0.14172,0.00991,-0.11153,-0.16077,0.71890,0.01245,0.74057,0.69765,-2.22135,0.11658,-2.02044,-2.42059,-12.38663,0.38987,-11.66905,-13.11754,0.15848,0.06353,0.35729,0.03045,0.15724,0.06376,0.36199,0.03407,0.11458,0.03285,0.23750,0.04286,6.10864,4.78200,23.01257,0.12048,5.63906,4.55857,24.22716,0.10476,-0.12289,0.00644,-0.10977,-0.13706,0.00566,0.00227,0.01228,0.00166,-0.11545,0.00782,-0.09590,-0.12913,-0.12993,0.00659,-0.11543,-0.14540,-2.73372,0.00674,-2.70892,-2.75822,-2.73372,0.00674,-2.70892,-2.75822,0.24464,0.01341,0.28343,0.21207,-2.10060,0.04585,-1.96143,-2.22046,-4.97827,0.69864,-3.93324,-8.82821,-0.00176,0.00494,0.01024,-0.01110,0.01185,0.00423,0.02023,0.00251,0.01519,0.00976,0.03136,-0.00748,-0.01577,0.00504,-0.00353,-0.02798
6,14.387521743774414,5400,-84.87403,-24.49732,-21.12151,0.56936,13.07466,0.73640,0.00000,-75.52474,0.00000,-0.14071,0.00906,-0.11270,-0.16207,0.67703,0.01173,0.69744,0.65703,-2.62525,0.11643,-2.42576,-2.82974,-13.71209,0.38480,-13.00897,-14.47178,0.15515,0.05804,0.33449,0.02821,0.15745,0.05969,0.32746,0.03151,0.10465,0.03072,0.21511,0.04525,7.53721,5.93873,28.24004,0.18152,8.29033,6.84540,35.35939,0.09792,-0.12067,0.00526,-0.10501,-0.13361,0.00629,0.00190,0.00989,0.00179,-0.11167,0.00612,-0.09545,-0.12448,-0.12804,0.00563,-0.11348,-0.14409,-2.73342,0.00750,-2.71272,-2.75023,-2.73342,0.00750,-2.71272,-2.75023,0.24550,0.01347,0.28767,0.21453,-2.08628,0.05182,-1.92012,-2.23763,-4.93818,0.63058,-3.96475,-7.21276,-0.00254,0.00371,0.00394,-0.01184,0.01255,0.00371,0.02061,0.00603,0.01467,0.00667,0.02420,-0.00086,-0.01842,0.00633,-0.00651,-0.03890
7,14.379936695098877,5600,-84.13708,-32.77240,-21.25745,0.56101,13.05084,0.76129,0.00000,-78.97844,0.00000,-0.14291,0.00927,-0.11435,-0.16194,0.63761,0.01104,0.65683,0.61876,-3.02930,0.11692,-2.82846,-3.22961,-14.92768,0.35039,-14.28370,-15.56184,0.14474,0.06249,0.36870,0.02161,0.14378,0.06182,0.37823,0.02342,0.09834,0.03213,0.20051,0.01986,9.94744,8.39828,44.77353,0.20998,10.64908,7.63490,44.58258,0.26180,-0.12186,0.00536,-0.11296,-0.13298,0.00654,0.00199,0.01054,0.00053,-0.11232,0.00629,-0.10288,-0.13062,-0.12963,0.00645,-0.11894,-0.14550,-2.73355,0.00647,-2.71670,-2.75462,-2.73355,0.00647,-2.71670,-2.75462,0.24513,0.01488,0.29952,0.21328,-2.08973,0.04679,-1.97930,-2.20350,-4.95006,0.67519,-4.01292,-9.66580,-0.00091,0.00517,0.01240,-0.01008,0.01204,0.00335,0.01955,0.00425,0.01551,0.00809,0.03292,-0.00283,-0.01513,0.00864,-0.00321,-0.03801
8,14.47994613647461,5800,-83.04917,-35.64993,-21.46890,0.56011,13.19616,0.71586,0.00000,-74.34592,0.00000,-0.14258,0.00892,-0.11221,-0.16142,0.60048,0.01040,0.61858,0.58273,-3.43333,0.11681,-3.23130,-3.63814,-16.06274,0.32399,-15.45682,-16.66488,0.14656,0.06064,0.32331,0.02175,0.14188,0.05821,0.34891,0.02048,0.08934,0.02538,0.17030,0.03049,10.16811,8.63120,44.88874,0.47870,8.83793,6.81945,30.80554,0.15995,-0.12191,0.00500,-0.11269,-0.13288,0.00613,0.00172,0.00909,0.00251,-0.11360,0.00555,-0.09894,-0.12602,-0.12938,0.00591,-0.11850,-0.14609,-2.73360,0.00646,-2.71741,-2.75169,-2.73360,0.00646,-2.71741,-2.75169,0.24511,0.01544,0.30296,0.20854,-2.09594,0.04374,-1.96159,-2.19812,-4.91577,0.68671,-3.55768,-8.39932,-0.00455,0.00391,0.00222,-0.01387,0.01137,0.00284,0.01747,0.00494,0.01322,0.00622,0.02546,-0.00354,-0.01632,0.00495,-0.00694,-0.02737
9,14.37559723854065,6000,-83.26246,-30.46572,-21.48859,0.56306,13.06583,0.74051,0.00000,-85.18203,0.00000,-0.14431,0.00920,-0.11876,-0.16226,0.56551,0.00979,0.58256,0.54879,-3.83745,0.11675,-3.63526,-4.04344,-17.12530,0.33013,-16.40872,-17.75708,0.13947,0.06570,0.32014,0.01890,0.13447,0.06071,0.27754,0.02088,0.08066,0.02084,0.15781,0.03275,13.69836,10.52366,55.37094,0.31599,12.48822,8.76698,51.69347,0.36605,-0.12258,0.00483,-0.10998,-0.13093,0.00687,0.00144,0.01015,0.00415,-0.11458,0.00565,-0.10017,-0.12501,-0.13216,0.00520,-0.11934,-0.14294,-2.73378,0.00724,-2.71626,-2.75483,-2.73378,0.00724,-2.71626,-2.75483,0.24521,0.01339,0.29782,0.22015,-2.08920,0.04327,-1.98344,-2.21927,-4.93161,0.70411,-3.80900,-7.45279,-0.00250,0.00449,0.00466,-0.01180,0.01291,0.00517,0.02124,0.00252,0.01681,0.01175,0.03718,-0.00469,-0.01697,0.00665,-0.00127,-0.02867
