task,new,old
reach-v1,1,1
push-v1,1,1
pick-place-v1,1,0
Reach-wall-v1,1,1
Pick-place-wall-v1,1,1
Push-wall-v1,1,1
Door-open-v1,1,1
Door-close-v1,1,1
Drawer-open-v1,1,1
Drawer-close-v1,1,1
Button-press-topdown-v1,1,1
Button-press-v1,1,1
Button-press-topdown-wall-v1,1,1
Button-press-wall-v1,1,1
Peg-insert-side-v1,1,1
Peg-unplug-side-v1,0,0
Window-open-v1,1,1
Window-close-v1,1,0
Disassemble-v1,0,0
Hammer-v1,1,0
Plate-slide-v1,1,1
Plate-slide-side-v1,1,1
Plate-slide-back-v1,1,1
Plate-slide-back-side-v1,1,1
Handle-press-v1,1,1
Hanlde-pull-v1,1,1
Handle-press-side-v1,1,1
Handle-pull-side-v1,1,1
Stick-push-v1,1,0
Stick-pull-v1,1,0
Basketball-v1,1,0
Soccer-v1,1,1
Faucet-open-v1,1,0
Faucet-close-v1,1,0
Coffee-push-v1,1,1
Coffee-pull-v1,1,1
Coffee-button-v1,1,1
Sweep-v1,1,0
Sweep-into-v1,1,1
Pick-out-of-hole-v1,0,0
Assembly-v1,0,0
Shelf-place-v1,1,1
Push-back-v1,0,0
Lever-pull-v1,0,0
Dial-turn-v1,1,1
Bin-picking-v1,0,0
Box-close-v1,1,1
Hand-insert-v1,1,1
Door-lock-v1,1,1
Door-unlock-v1,1,1
